example_id                                                      | status | run_time        |
./spec/smoke/jive_page/view_profile_page_spec.rb[1:2]           | passed | 0.22921 seconds |
./spec/smoke/jive_page/view_profile_page_spec.rb[1:3]           | passed | 0.0959 seconds  |
./spec/smoke/jive_page/view_profile_page_spec.rb[1:4]           | passed | 0.38564 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:1]                | passed | 0.86499 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:2]                | passed | 2.06 seconds    |
./spec/smoke/jive_page/welcome_page_spec.rb[1:3]                | passed | 0.06055 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:4]                | passed | 0.04417 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:5]                | passed | 0.06284 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:6]                | passed | 0.77668 seconds |
./spec/smoke/jive_page/welcome_page_spec.rb[1:7]                | passed | 0.05233 seconds |
./spec/smoke/jive_widget/about_place_widget_spec.rb[1:1]        | passed | 0.23968 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:1]           | passed | 0.20147 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:2]           | passed | 0.12098 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:3]           | passed | 0.06614 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:4]           | passed | 0.15651 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:5]           | passed | 0.08647 seconds |
./spec/smoke/jive_widget/bookmark_widget_spec.rb[1:6]           | passed | 0.12184 seconds |
./spec/smoke/jive_widget/comment_actions_widget_spec.rb[1:1]    | passed | 0.61896 seconds |
./spec/smoke/jive_widget/content_widget_spec.rb[1:1]            | passed | 0.44868 seconds |
./spec/smoke/jive_widget/draft_widget_spec.rb[1:1]              | passed | 0.0563 seconds  |
./spec/smoke/jive_widget/draft_widget_spec.rb[1:2]              | passed | 0.04513 seconds |
./spec/smoke/jive_widget/draft_widget_spec.rb[1:3]              | passed | 0.04495 seconds |
./spec/smoke/jive_widget/draft_widget_spec.rb[1:4]              | passed | 0.19902 seconds |
./spec/smoke/jive_widget/follow_list_widget_spec.rb[1:1]        | passed | 0.04677 seconds |
./spec/smoke/jive_widget/following_widget_spec.rb[1:1]          | passed | 0.15008 seconds |
./spec/smoke/jive_widget/following_widget_spec.rb[1:2]          | passed | 0.07065 seconds |
./spec/smoke/jive_widget/frequent_recent_widget_spec.rb[1:1]    | passed | 0.23569 seconds |
./spec/smoke/jive_widget/frequent_recent_widget_spec.rb[1:2]    | passed | 0.60314 seconds |
./spec/smoke/jive_widget/frequent_recent_widget_spec.rb[1:3]    | passed | 0.11684 seconds |
./spec/smoke/jive_widget/group_membership_widget_spec.rb[1:1]   | passed | 0.0487 seconds  |
./spec/smoke/jive_widget/group_membership_widget_spec.rb[1:2]   | passed | 0.04755 seconds |
./spec/smoke/jive_widget/group_membership_widget_spec.rb[1:3]   | passed | 0.0613 seconds  |
./spec/smoke/jive_widget/item_view_toggle_widget_spec.rb[1:1]   | passed | 0.055 seconds   |
./spec/smoke/jive_widget/item_view_toggle_widget_spec.rb[1:2]   | passed | 0.16627 seconds |
./spec/smoke/jive_widget/like_widget_spec.rb[1:1]               | passed | 0.05589 seconds |
./spec/smoke/jive_widget/message_widget_spec.rb[1:1]            | passed | 0.04625 seconds |
./spec/smoke/jive_widget/message_widget_spec.rb[1:2]            | passed | 0.16911 seconds |
